ime,id,gorovje,visina,vrsta,priljubljenost,mesto_priljubljenosti,stevilo_poti,opis 
Koreno,334,Polhograjsko hribovje in Ljubljana,729,"vrh, cerkev",83,433,8,"Koreno tudi Korena je 729 m visok hrib, ki se nahaja severno od Horjula. Z vrha, na katerem stoji velik križ, cerkev sv. Mohorja in Fortunata, razgledna plošča, klop z mizo, ter pod njo vpisna skrinjica z žigom in knjigo, se nam odpre lep razgled na večji del hribovja osrednje in zahodne Slovenije."
Koseški bajer,2146,Polhograjsko hribovje in Ljubljana,307,jezero,74,649,2,"Koseški bajer je manjše umetno jezerce dolžine 200 in širine do 100 metrov, ki se nahaja severozahodno od Rožnika. Koseški bajer (tudi Ribnik, Koseško jezero, Martinek bajer ali samo Bajer) je nastal pred približno dvesto leti z izkopavanjem gline."
Koseški hrib,2770,Polhograjsko hribovje in Ljubljana,467,vrh,15,2149,5,"Koseški hrib se nahaja med Kuharjevim borštom in Kosezami, naseljem po katerem je vrh tudi dobil ime. Z vrha, na katerem se nahajajo miza, klop ter vpisna skrinjica z vpisno knjigo, se nam odpre lep razgled na Kamniško Savinjske Alpe ter del Karavank in Julijskih Alp, na ostale strani pa razgled delno zastira gozd."
Kožljek,333,Polhograjsko hribovje in Ljubljana,788,vrh,71,723,4,"Kožljek je 788 m visok vrh, ki se nahaja zahodno od Korena, točneje nad vasjo Samotorica. Z vrha, na katerem se nahaja nekaj klopi, se nam odpre lep razgled na Polhograjsko hribovje in del Kamniško Savinjskih Alp, na druge stra razgled ovira gozd. Vrh ima vpisno skrinjico in v njej vpisno knjigo ter žig."
Kregovnik,1490,Polhograjsko hribovje in Ljubljana,692,vrh,42,1465,1,"Kregovnik je manj znan vrh, ki se nahaja na jugovzhodnem grebenu 898 m visoke Polhograjske Grmade. Z vrha, ki je večinoma porasel z gozdom, se nam odpre le nekaj razgleda na okoliško hribovje."
Kucelj nad Polhovim Gradcem,2479,Polhograjsko hribovje in Ljubljana,705,vrh,18,2061,3,"Kucelj je nekoliko manj znan vrh, ki se nahaja med Polhovim Gradcemm in Dvorom pri Polhovem Gradcu. S 705 metrov visokega vrha se odpre razgled proti Grmadi in delu Kamniško Savinjskih Alp, z nekaj 10 metrov oddaljene razgledne točke, pa še lep razgled proti jugu in zahodu, kjer ob lepi vidljivosti vidimo Krim, Snežnik, Nanos..."
Kugelč (Šentjošt nad Horjulom),1533,Polhograjsko hribovje in Ljubljana,666,"vrh, cerkev, planina",54,1169,2,"Kugelč je 666 m visok vrh, ki se nahaja nad Šentjoštom nad Horjulom. Z vrha, na katerem stoji visok križ, se nam odpre lep razgled po okoliškem hribovju in zaselkih na njih. V zimskem času, pa je Kugelč priljubljen tudi pri smučarjih, saj do vrha pripelje krajša vlečnica."
Lavrovec,1503,Polhograjsko hribovje in Ljubljana,890,vrh,60,1009,1,"Lavrovec je 890 m visok vrh, ki se nahaja med Horjulom in Žirmi. Z vrha, na katerem je merilec sončnega obsevanja (uradno merilno mesto Agencije RS za okolje) se nam odpre razgled na bližnji Vrh svetih Treh kraljev (884 m) ter na zahodni del Polhograjskega hribovja."
Ljubljanski grad,307,Polhograjsko hribovje in Ljubljana,376,"vrh, koča",85,382,5,"Ljubljanski grad stoji na vzpetini nad centrom Ljubljane. Grad je zelo priljubljen pri turistih, ki obiščejo Ljubljano. Z gradu je lep razgled na Ljubljano in ob lepi vidljivosti tudi na Kamniške in Savinjske Alpe. Lepo se vidijo tudi Julijske Alpe, Ljubljansko barje in Krim. Na grad se, da priti tudi s tirno vzpenjačo, ki pa je plačljiva. Na Ljubljanskem gradu je možno dobiti tudi žig, pa tudi vpisna knjiga je in sicer pri antenskem stolpu na Šancah."
Lovska koča na Klobuku,2389,Polhograjsko hribovje in Ljubljana,433,koča,21,2004,3,"Lovska koča na Klobuku se nahaja nekaj 10 metrov stran od 441 metrov visokega Klobuka. Od Lovske koče, ki je oskrbovana ob lepih vikendih, zaradi bližnjega gozda ni lepšega razgleda. Lovska koča je primeren cilj za mlajše otroke in starejše, saj poti, ki vodijo do koče niso tehnično zahtevne in prav tako ne predolge, lahko pa je le vmesna postaja pri nadaljevanju ture, ki jo lahko podaljšamo vse do Grmade ali Tošča."
Mala Grmada,1491,Polhograjsko hribovje in Ljubljana,853,vrh,61,981,2,"Mala Grmada je 853 m visok vrh, ki se nahaja jugozahodno od nekoliko višje Polhograjske Grmade. Z vrha, se nam odpre lep razgled po osrednjem delu Polhograjskih Dolomitov."
Mali vrh,491,Polhograjsko hribovje in Ljubljana,708,vrh,65,879,3,"Zahodno od Polhovega Gradca, med rekama Mala voda in Velika Božna, se nahaja 708 m visoka vzpetina, z imenom Mali vrh. S travnatega vrha, na katerem je vpisna skrinjica z žigom, se nam odpre lep razgled na bližnje Koreno, Kožljek, Polhograjsko Goro in Grmado. Ob lepi vidljivosti, pa razgled seže vse od Krima pa do Posavskega hribovja."
Marinčeva planina (Hrib),2125,Polhograjsko hribovje in Ljubljana,805,vrh,50,1272,2,"Marinčeva planina (na zemljevidih napačno poimenovan - Hrib) je 805 metrov visoka vzpetina, ki se nahaja na zahodnem delu Polhograjskega hribovja, točneje nad Planino nad Horjulom. Z vrha, na katerem se nahaja manjša razgledna plošča, se nam ob lepem vremenu odpre razgled, ki seže vse do Snežnika, Nanosa, Triglava in Kamniško Savinjskih Alp. Omenjeni vrh je znan kot arheološko najdišče, saj so leta 1985 na njem odkrili ostanke žrmelj, lončenine, kalupov... Vrh je ograjen s pašnimi ograjami in zato težje dostopen."
Mengeška koča na Gobavici,1785,Polhograjsko hribovje in Ljubljana,433,"vrh, koča",77,577,7,"Gobavica je grič, ki se dviga nad Mengšem. Na njem stoji Mengeška koča, imajo pa tudi stajo s kozami. Je eno od izhodišč za izlet na Rašico. Z jase malo pred vrhom, kjer stoji kapelica je tudi lep razgled na Kamniške Alpe s Kamniškim sedlom."
Mlaka,535,Polhograjsko hribovje in Ljubljana,914,vrh,53,1177,2,Mlaka oz. Prosenov grič je poraščen vrh med Pasjo ravnjo in Toščem. Vrh zaradi gozda nima razgleda.
Mlinčki,2771,Polhograjsko hribovje in Ljubljana,340,,14,2163,2,"Mlinčki so priljubljena izletniška točka prebivalcev okoliških vasi, v zadnjem času pa si mlinčke hodi ogledovat tudi vse več sprehajalcev in pohodnikov od drugod. Ob mlinčkih (leta 2006 je bilo postavljenih 125) se nahaja še ""koča"" pri mlinčkih, drvarnica, manjša kapelica in nekaj klopi."
Mostec,2533,Polhograjsko hribovje in Ljubljana,316,koča,18,2065,1,"Mostec je rekreacijski park ob vznožju Rožnika in istoimenska dolina. V parku so številna otroška igrala, gostišča, balinišče, po predhodnem dogovoru so možni tudi pikniki. Po sredini dolini teče potoček, ki v sušnem obdobju presahne, v zgornjem delu doline pa so še tri skakalnice Smučarsko skakalnega kluba Ilirija."
Osolnik,188,Polhograjsko hribovje in Ljubljana,858,"vrh, cerkev",94,140,9,"Osolnik je 858 m visoka gora, ki se nahaja južno od Škofje Loke in zahodno od Medvod. Z vrha, na katerem stoji cerkev sv. Mohorja in Fortunata, se nam odpre lep razgled na Polhograjsko hribovje in del Kamniško Savinjskih Alp. Vrh ima vpisno skrinjico in žig."
Partizanski dom na Ključu,770,Polhograjsko hribovje in Ljubljana,550,koča,64,911,4,"Partizanski dom na Ključu se nahaja le nekaj deset višinskih metrov pod vrhom Ključa na njegovih jugovzhodnih pobočjih. Dom je bil postavljen v spomin borcem in aktivistom dolomitskega odreda, ki so na tem mestu vodili svoj prvi veliki boj proti Italijanom. Dom je odprt ob sobotah, nedeljah in praznikih."
Pasja ravan,493,Polhograjsko hribovje in Ljubljana,1020,vrh,94,149,4,"Pasja ravan je drugo najvišji vrh v Polhograjskem hribovju. Še pred nekaj desetletji je bila s 1029 m najvišji vrh, a ga je jugoslovanska vojska v drugi polovici 70-ih let 20 stoletja zravnala z zemljo in mu odbila cca. 10 m višine. Zato je vrh raven in ima polno vojaških bunkerjev in rovov."
Planinski dom na Ravneku,1493,Polhograjsko hribovje in Ljubljana,522,koča,53,1178,1,"Planinski dom na Ravneku, katerega oskrbuje PD Blagajana, se nahaja vzhodno od Polhovega Gradca, na zahodnih pobočjih 705 m visokega Kuclja."
Polhograjska Gora (Sveti Lovrenc),264,Polhograjsko hribovje in Ljubljana,824,"vrh, cerkev",91,236,9,"Polhograjska Gora, tudi samo Gora ali Sveti Lovrenc je 824 m visoka vzpetina, ki se nahaja severozahodno od Polhovega Gradca. Z vrha, na katerem stoji cerkev sv. Lovrenca, se nam odpre lep razgled, ki je najlepši proti Ljubljanski kotlini in notranjskem hribovju, kjer izstopa Snežnik. Vrh ima vpisno skrinjico in žig."
Polhograjska Grmada,75,Polhograjsko hribovje in Ljubljana,898,vrh,98,52,17,"Polhograjska Grmada je 898 m visok vrh, ki se nahaja v osrčju Polhograjskih Dolomitov. Z vrha, na katerem se nahaja vpisna skrinjica z žigom ter razgledna plošča, se nam odpre lep razgled po večjem delu zahodne in osrednje Slovenije."
Rašica (Vrh Staneta Kosca),123,Polhograjsko hribovje in Ljubljana,641,"vrh, koča",96,106,14,"Vrh Staneta Kosca, bolj znan pod imenom Rašica, se nahaja severno od Ljubljane, natančneje nad vasjo Rašica in Dobeno. Z vrha na katerem stoji 17 m visok razgledni stolp se nam odpre lep razgled po večjem delu osrednje Slovenije, kjer najlepše vidimo Kamniško Savinjske Alpe.<br> Le nekaj metrov pod vrhom pa se nahaja tudi planinski dom, ki je odprt vsak dan."
Rog,1110,Polhograjsko hribovje in Ljubljana,798,vrh,68,807,10,"Rog je 798 m visok vrh, ki se nahaja nad vasjo Topol in je le 10 minut oddaljen od cerkve svete Katarine. Z vrha, na katerem je včasih stal velik križ, pa se nam odpre lep pogled po bližnji in daljni okolici. Najlepše se vidijo Kamniško Savinjske Alpe in del osrednjih Karavank."
Šišenski hrib (Rožnik),312,Polhograjsko hribovje in Ljubljana,429,vrh,80,493,3,"Šišenski hrib je s 429 m najvišji vrh Rožnika, hriba ki se dviguje nad središčem Ljubljane. Z vrha na katerem se nahaja nekaj oddajnikov, zaradi gozda ni razgleda."
Sivka,1182,Polhograjsko hribovje in Ljubljana,934,vrh,79,522,2,"Sivka je travnat vrh, ki se nahaja na skrajnem zahodnem delu Polhograjskega hribovja. Z vrha se nam tako ob lepem vremenu odpre čudovit razgled, ki seže od Snežnika prek Javornikov do Škofjeloško Cerkljanskega hribovja in naprej do Julijcev, Karavank in Kamniško Savinjskih Alp. <br> Le nekaj metrov pod vrhom pa se nahaja tudi vpisna skrinjica z žigom."
Slavkov dom na Golem brdu,781,Polhograjsko hribovje in Ljubljana,396,koča,78,564,2,Slavkom dom se nahaja na Golem brdu v bližini Medvod. Dom od katerega je razgled le na bližnje hribovje je dobil ime po revolucionarju in alpinistu Slavku Čarman.
Šmarna gora,117,Polhograjsko hribovje in Ljubljana,669,"vrh, koča, cerkev",98,43,23,"Šmarna gora je 669 m visok vrh, ki se nahaja severozahodno od glavnega mesta Slovenije. Z vrha, na katerem se nahaja gostinski lokal ter cerkev, se nam odpre lep razgled na Gorenjsko, del Julijskih Alp, Karavank in Kamniško Savinjskih Alp."
Smledniški hrib (Stari grad),1873,Polhograjsko hribovje in Ljubljana,517,"vrh, koča",83,421,5,"Stari grad (tudi Smledniški grad) se nahaja na manjši vzpetini jugozahodno od Valburge. Pred leti so pričeli z obnovo gradu ter izsekavanjem bližnjega drevja, tako da se nam sedaj z vrha odpre lep razgled na del Kamniško Savinjskih Alp, Polhograjsko hribovje, Sorško polje, Škofjeloško hribovje ter ob lepi vidljivosti na Julijske Alpe ter del zahodnih in osrednjih Karavank.<br>Le nekaj metrov pod vrhom, pa se nahaja še okrepčevalnica in ob njej vpisna skrinjica. Med okrepčevalnico in gradom, pa se nahaja tudi krajša plezalna pot, ki vodi do obzidja gradu."
Stražni vrh,2390,Polhograjsko hribovje in Ljubljana,439,vrh,19,2056,1,"Stražni vrh je z gozdom poraščen vrh, ki se nahaja med Podutikom in Stransko vasjo. Vrh, na katerega se večinoma vzpenjajo domačini je označen z manjšo kovinsko tablico na kateri piše ime vrha."
Strmca,1955,Polhograjsko hribovje in Ljubljana,472,vrh,42,1464,5,"Strmca je manj znan in z gozdom poraščen hrib, ki se nahaja med krajema Brezje pri Dobrovi in Log pri Brezovici. Z vrha zaradi gozda ni razgleda."
Sveta Ana (Butajnova),1514,Polhograjsko hribovje in Ljubljana,686,cerkev,57,1098,1,"Cerkev sv. Ane se nahaja v Butajnovi nad Horjulom. Od cerkve oz. bližnje okolice, se nam odpre lep razgled po Butajnovi in okoliškem hribovju."
Sveta Jedert,533,Polhograjsko hribovje in Ljubljana,750,cerkev,62,948,2,"Cerkev sv. Jedert se nahaja na razglednem travniku severozahodno od Tošča, ki je najvišji vrh Polhograjskega hribovja. Od cerkvice je lep pogled po okoliškem hribovju."
Sveta Katarina (Topol),1661,Polhograjsko hribovje in Ljubljana,738,cerkev,95,119,9,"Cerkev svete Katarine je župnijska cerkev, ki se nahaja v vasi Topol nad Medvodami. Od cerkve oziroma njene bližnje okolice, se nam odpre lep razgled na Krim, Ulovko in bližnje Polhograjsko hribovje."
Sveta Marjeta pod Jeterbenkom,782,Polhograjsko hribovje in Ljubljana,482,cerkev,60,1019,3,"Cerkev Svete Marjete se nahaja nad vasjo Žlebe in ob vznožju razglednega Jeterbenka. Cerkev je bila zgrajena leta 1526, glavni oltar pa leta 1680. Od cerkve je lep razgled na hribovje v okolici Medvod."
Sveta Uršula (Setnica),299,Polhograjsko hribovje in Ljubljana,700,cerkev,59,1029,2,"Cerkev svete Uršule, se nahaja na travnatih pobočjih pod vrhom Male Grmade (853 m). Od cerkve, ki je priljubljena izletniška točka, se nam odpre lep razgled na okoliško hribovje."
Sveti Andrej (Planina nad Horjulom),1515,Polhograjsko hribovje in Ljubljana,798,"vrh, cerkev",66,864,2,"Cerkev sv. Andreja se nahaja na razgledni vzpetini tik nad Planino nad Horjulom. Od cerkve, ki je bila zgrajena leta 1659, se nam odpre lep razgled na Polhograjsko in Škofjeloško hribovje."
Sveti Florijan (Tehovec),1611,Polhograjsko hribovje in Ljubljana,685,"vrh, cerkev",55,1145,3,"Cerkev sv. Florijana je podružnična cerkev, ki se nahaja v vasi Tehovec nad Medvodami. Od cerkve, ki je prvič omenjena leta 1548, se nam odpre lep razgled na Polhograjsko Grmado, Tošč, Gontarsko planino in Osolnik."
Sveti Jakob,119,Polhograjsko hribovje in Ljubljana,806,"vrh, cerkev",96,103,13,"Cerkev sv. Jakoba se nahaja na razgledni vzpetini severno od vasi Topol pri Medvodah. Z vrha, na katerem je vpisna skrinjica z žigom in vpisno knjigo, se nam odpre lep razgled na Polhograjsko hribovje in del Kamniško Savinjskih Alp."
Sveti Jurij (Hruševo),2477,Polhograjsko hribovje in Ljubljana,414,"vrh, cerkev",15,2142,1,"Cerkev sv. Jurija nad Hruševim, se nahaja na manjši vzpetini imenovani Prtica. Z vrha, oz. od cerkve se nam odpre razgled na hribe, ki se dvigajo nad osrednjim delom reke Gradaščice."
Sveti Jurij (Praproče),2560,Polhograjsko hribovje in Ljubljana,552,cerkev,11,2258,1,"Cerkev sv. Jurija se nahaja na obrobju vasi Praproče. Od cerkve se nam odpre lep pogled na okoliške hribe, predvsem tiste, ki se dvigajo nad dolino reke Mala voda."
Sveti križ na Hribcu,1603,Polhograjsko hribovje in Ljubljana,380,,39,1539,1,"Cerkev sv. Križa se nahaja na manjši vzpetini nad Puštalom (naselje v Škofji Loki) imenovani Hribec. Od cerkve, do katere vodi kratka romarska pot, se nam odpre lep razgled na Škofjo Loko in okoliškemu hribovju."
Sveti Lenart,375,Polhograjsko hribovje in Ljubljana,861,"vrh, cerkev",73,687,1,"Cerkev sv. Lenarta, se nahaja na razgledni vzpeti v neposredni bližini Črnega Vrha nad Polhovim Gradcem. Z vrha, na katerem je tudi lepo urejeno pokopališče, se nam odpre lep razgled po najvišjih vrhovih Polhograjskega ter deloma Škofjeloškega hribovja. Le malo pod vrhom, ob gasilskem domu, pa se nahaja tudi vpisna skrinjica z žigom."
Sveti Martin nad Brišami,1489,Polhograjsko hribovje in Ljubljana,567,cerkev,40,1508,1,"Cerkev sv. Martina, se nahaja jugozahodno od Polhovega Gradca, na pobočjih 708 m visokega Malega vrha. Od cerkve, ki se nahaja na razglednem travnatem slemenu, se nam odpre lep razgled na hribovje, ki se dviguje nad dolino reke Mala voda."
Sveti Mihael na Samotorici,1180,Polhograjsko hribovje in Ljubljana,665,cerkev,43,1437,1,"Cerkev svetega Mihaela na Samotorici se nahaja ob robu razglednih travnatih senožeti, s katerih se nam ob lepem vremenu odpre lep razgled, ki seže vse do Snežnika."
Sveti Ožbolt,534,Polhograjsko hribovje in Ljubljana,859,"vrh, cerkev",76,603,2,Sveti Ožbolt se nahaja na razgledni vzpetini na severu Polhograjskih Dolomitov. Lep je razgled proti Škofjeloškemu hribovju in delu Polhograjskih Dolomitov.
Sveti Tilen nad Repnjami,2455,Polhograjsko hribovje in Ljubljana,419,cerkev,18,2083,1,"Cerkev sv. Tilna se nahaja med Repnjami in Repenjskim hribom. Od cerkve zaradi bližnjega gozda ni lepšega razgleda, a kljub temu lahko vidimo Veliko planino ter del Gorenjske. V bližini cerkve se nahaja še vpisna skrinjica z vpisno knjigo."
Sveti Urh,771,Polhograjsko hribovje in Ljubljana,420,"vrh, cerkev",69,783,2,Cerkev Svetega Urha je postavljena na manjši razgledni vzpetini med Zaklancem in Podolnico. Od cerkve je lep razgled na hribovje nad Ljubljanskim barjem in Horjulsko kotlino. 
Tošč,122,Polhograjsko hribovje in Ljubljana,1021,vrh,97,74,11,"Tošč, ki je pred desetletji, ko je jugoslovanska vojska za 9 m znižala Pasjo ravan postal najvišji vrh Polhograjskega hribovja, se nahaja severozahodno od Polhograjske Grmade (898 m). Z vrha na katerem se nahaja nekaj klopi, vpisna skrinjica in žig, se nam odpre razgled le proti zahodu, kjer lahko vidimo zahodni del Polhograjskega hribovja ter nekaj najvišjih vrhov v Škofjeloškem hribovju."
Toško Čelo,128,Polhograjsko hribovje in Ljubljana,590,"vrh, koča",94,147,6,"Toško Čelo je 590 m visok hrib nad istoimensko vasjo. Z vrha, oz. nekoliko nižje se nam odpre lep razgled na del Ljubljane in okoliškega hribovja. Nekaj 10 metrov pod vrhom, pa se nahaja tudi lovski dom, ki je odprt vsak dan razen ponedeljka."
Veliki hrib,492,Polhograjsko hribovje in Ljubljana,815,vrh,47,1335,1,Veliki hrib je redko obiskan vrh v Polhograjskem hribovju. Vrh je poraščen z gozdom in nima razgleda.
Veliki vrh (Rašica),1712,Polhograjsko hribovje in Ljubljana,568,vrh,61,991,1,"Veliki vrh je 568 m visok hrib, ki se nahaja zahodno od Vrha Staneta Kosca. Le nekaj metrov pod vrhov, ki je sicer poraščen z gozdom, pa se nahaja manjše brezno imenovano Markonovo brezno."
Visoki hrib,1454,Polhograjsko hribovje in Ljubljana,602,vrh,45,1400,2,"Visoki hrib je 602 m visoka vzpetina, ki se nahaja južno od Polhovega Gradca. Z vrha, katerega deloma prerašča gozd, se nam odpre lep razgled predvsem proti zahodu, kjer lahko vidimo hribovje nad dolino reke Male vode."
Vrh (Debeli hrib),2223,Polhograjsko hribovje in Ljubljana,540,vrh,56,1103,2,"Vrh je 540 m visok hrib, ki se nahaja na grebenu Debeli hrib, grebenu, ki se nahaja med Ljubljanskim barjem in dolino reke Horjulščice. Razgled z vrha na katerem je nekaj klopi, vpisna skrinjica z vpisno knjigo in žigom, termometrom ter žabo, ki je nekakšen simbol vrha, povsem zastira gozd."
Vrhe nad Dobrovo,1994,Polhograjsko hribovje in Ljubljana,603,vrh,43,1433,2,"Vrhe so manj poznani a pomembni vrh na skrajnem JV delu Polhograjskega hribovja. Nanj vodi več nemarkiranih kolovozov in steza iz številnih smeri.<br>Zelo prostorni in ravni vrh, ki je na vrhu lepo urejen nima razgleda. Le pozimi lahko med vejami vidimo kakšnega velikana Grintovcev.<br>Poleg klopce je na vrhu termometer, zvonček želja in kup različnih napisov."
Altemaver (Ratitovec),1310,"Škofjeloško, Cerkljansko hribovje in Jelovica",1678,vrh,97,73,13,"Altemaver je s 1678 m najvišji vrh Ratitovca. S travnatega vrha se nam odpre lep razgled na Julijske Alpe, Jelovico, Karavanke, Kamniško Savinjske Alpe ter Škofjeloško in Cerkljansko hribovje."
Babji zob,523,"Škofjeloško, Cerkljansko hribovje in Jelovica",1128,vrh,90,255,5,"Babji zob je razgledna točka nad vasjo Kupljenik pri Bledu. Prepaden vrh, ki ima vpisno skrinjico ima lep razgled na del Spodnjih Bohinjskih gora in na gore okoli Triglava.<br><br>Anekdota o Babjem zobu na Jelovici.<br>Stari ljudje pravijo, da na Jelovški planoti stara baba je živela. Nekateri so celo trdili, da je več kot stopetdeset let že imela, da čarovnica je bila, ki se skrivala je tam, češ drugače jo bi pogubili na grmadi. Baba je zelišča nabirala, s čarovništvom in napitki se je ukvarjala ter v dolino svoje uroke je pošiljala.<br>V dolini vsi so se babe bali, saj kadar je uroke pošiljala, nihče od kmetov upal ni, na njivo ali gozd, ker tam še danes hudičeva ježa preži, ki marsikaterega kmeta lahko zaradi njenih urokov takoj pogubi.<br>Ko pa baba že bila je stara ni več tako dobro zelišča nabirala, saj počasi že prihajal njen je čas. Nihče pa vedel ni koliko je stara, saj krepko čez sto jih je že nabrala.<br>Nekega dne pa ko baba dovolj zelišča ni nabrala, preko roba planote z jezo uroke je metala in glej babi stari spodrsne na planoti tej. In ko tako omahne v globine prostrane odkoder slišati je bilo še vedno njene uroke stare.<br>In iz odmeva gora slišati urok bilo je celo v dolino:<br>Jelovica ti ne boš več strma kot prej, takoj škrbino naredi na mesti tej.<br>In od takrat se vedno na koncu Jelovice, ki se zaključuje proti Bohinjski Beli vidi velik Babji zob, katerega že več sto let iz roda v rod vsi tako imenujejo. In v Bližini še danes koča stoji, ki da lastnikov se zvrstilo že več je kot tri.<br>Avtor:Guzej Vinko."
Bela peč (Podbliška gora),2858,"Škofjeloško, Cerkljansko hribovje in Jelovica",1133,vrh,13,2205,4,"Bela peč se nahaja na robu Jelovice nad vasjo Podblica. Z vrha pečine se nam odpre lep pogled proti omenjeni vasi, Škofjeloškemu hribovju, ob lepem vremenu pa razgled seže vse do Karavank in Kamniško Savinjskih Alp. Na vrhu se nahaja nekaj klopi ter vpisna skrinjica z vpisno knjigo."
Bevkov vrh,823,"Škofjeloško, Cerkljansko hribovje in Jelovica",1051,vrh,89,283,6,"Bevkov vrh, ki je točka slovenske planinske poti se nahaja med Cerknim in Spodnjo Idrijo. Vrh je poraščen z gozdom, žig pa dobimo na razglednem slemenu, ki je 5 minut oddaljen od vrha."
Bičkova skala,2859,"Škofjeloško, Cerkljansko hribovje in Jelovica",1012,,13,2206,1,"Bičkova skala je bil bojni položaj v dražgoški bitki januarja 1942. Na Bičkovi skali danes stoji večja kovinska zvezda, bližje ob cesti pa obeležje NOB. Z Bičkove skale se odpre lep razgled proti Dražgošam in hribovju nad Selško dolino."
Bitenjska planina,1991,"Škofjeloško, Cerkljansko hribovje in Jelovica",901,planina,39,1543,2,"Bitenjska planina je razgledna planina, ki se nahaja na severozahodnem robu Jelovice. S planine, na kateri stoji nekaj koč, se nam odpre lep pogled proti Triglavu in okoliškim goram."
Blegoš,176,"Škofjeloško, Cerkljansko hribovje in Jelovica",1562,vrh,99,22,13,"Blegoš je 1562 m visoka gora, ki se nahaja med Selško in Poljansko Soro. S travnatega vrha na katerem je žig in vpisna skrinjica, se nam odpre lep razgled na Polhograjsko hribovje, Golake, Kojco, Porezen, Julijske Alpe, Ratitovec, Koprivnik, Mladi in Stari vrh, ter Karavanke in Kamniško Savinjske Alpe. "
Bolnica Franja,1777,"Škofjeloško, Cerkljansko hribovje in Jelovica",601,"koča, slap",85,371,1,"Bolnica Franja je nekdanja partizanska vojna bolnišnica, ki se nahaja v soteski Pasice nad Dolenjim Novaki. Bolnica je delovala od konca leta 1943 do maja 1945. Bolnica je sestavljena iz številnih manjših lesenih barak, ki so stisnjene v sotesko Pasice.<br>18. septembra leta 2007, pa je širše cerkljansko območje zajela huda nevihta, ki je povzročila močne hudourniške poplave. Takrat je voda odnesla vse razen ene barake. Hudourniška voda, pa je s seboj odnesla tudi vse predmete, ki so bili shranjeni v barakah, ki so služile kot muzej. Do danes so našli približno 30% predmetov, ki so jih shranili v muzej v Cerknem.<br>Po poplavah septembra 2007, so pričeli s sanacijo in obnovo barak ter bolnico leta 2010 ponovno odprli za javnost. Cena za ogled bolnice Franja je 4 € za odrasle in 2,5 € za otroke (cenik maj 2011)."
Cerkev Loretske Matere Božje v Suši,1473,"Škofjeloško, Cerkljansko hribovje in Jelovica",560,cerkev,36,1605,1,"Cerkev Loretske Matere Božje v Suši se nahaja nad levim bregom Selške Sore in sicer med krajema Zali Log in Jesenovec. Do cerkve vodi več lepo urejenih poti in sicer od športnega igrišča v Zalem Logu, od ceste Zali Log - Železniki in z Jesenovca. Včasih, ko še ni bilo sedanje cestne povezave, je mimo cerkve, tedaj je bila tam še kapelica, vodila t.i. Napoleonova cesta, ki se je ognila ozki soteski Selške Sore."
Cerkovni vrh,1617,"Škofjeloško, Cerkljansko hribovje in Jelovica",804,vrh,40,1521,1,"Cerkovni vrh se širokopleč pne nad Spodnjo Idrijo. Z vrha se nam odpirajo lepi razgledi na lokalne vrhove, kot so Kobalove planine, Jelenk, Kendov vrh, Hleviške planine, Špičasti vrh, bolj v daljavi pa tudi lepo vidni Porezen, Golaki in Kobla. "
Črni vrh nad Novaki,900,"Škofjeloško, Cerkljansko hribovje in Jelovica",1291,"vrh, jezero",68,806,2,"Črni vrh, najvišja točka priljubljenega smučarskega centra Cerkno se nahaja severovzhodno od Novakov. Z vrha, v bližini katerega so naredili umetno jezero je lep razgled predvsem po zahodni Sloveniji, kjer vidimo večji del Julijcev (izstopajo Spodnje Bohinjske gore) in pred njimi Porezen, v lepem vremenu pa lahko opazimo tudi Kamniško Savinjske Alpe. Seveda ne manjkajo niti vrhovi kot so Ratitovec, Blegoš, Golaki..."
Danejeva planina,524,"Škofjeloško, Cerkljansko hribovje in Jelovica",1090,planina,62,964,2,"Danejeva planina je ena od številnih planin na Jelovici, ki se nahaja vzhodno od babjega zoba. S planine, na kateri se nahaja vikend, zaradi bližnjega gozda ni lepšega razgleda."
Davški slapovi,2917,"Škofjeloško, Cerkljansko hribovje in Jelovica",1000,slap,12,2234,1,"Trije manjši slapovi potoka Davča. Največji in najlepši med njimi je srednji slap, ki pada v dveh pramenih 6 m globoko."
Divje babe,1965,"Škofjeloško, Cerkljansko hribovje in Jelovica",450,,58,1064,1,"Divje babe so arheološko najdišče, ki se nahaja v arheološkem parku Divje babe. Najznamenitejša najdba je več kot 50.000 let stara piščal izdelana iz kosti jamskega medveda. Koščena piščal je najstarejše najdeno glasbilo na svetu, zato ta kraj imenujemo tudi zibelka svetovne glasbe."
Dom na Poreznu,217,"Škofjeloško, Cerkljansko hribovje in Jelovica",1590,"koča, bivak, planina",91,238,17,"Dom Andreja Žvana - Borisa na Poreznu, se nahaja le nekaj 10 m pod vrhom 1630 m visokega Porezna. Od doma, katerega opravlja PD Cerkno, se nam odpre lep razgled na verigo Spodnjih Bohinjskih gora in na večino gora v Škofjeloškem in Cerkljanskem hribovju.<br>V bližini planinskega doma, točneje v bližnji leseni koči, pa se nahaja manjši bivak brez ležišč."
Dom na Slajki,546,"Škofjeloško, Cerkljansko hribovje in Jelovica",789,koča,72,695,2,"Dom, ki je odprt ob sobotah, nedeljah in praznikih se nahaja nad Hotavljami v bližini Gorenje vasi. Od doma je lep pogled proti okoliškim vrhovom in hribovskim zaselkom."
